Fixed/Offset Slit,5.9999781,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,
Detector,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,

630.00,7.98989844E+3,8.15265527E+3,8.08977197E+3,8.41898535E+3,8.51146094E+3,8.46337402E+3,8.84437305E+3,8.84437305E+3,9.22907227E+3,9.34374219E+3,9.57678125E+3,1.04053633E+4,1.02130137E+4,1.05829160E+4,1.06938867E+4,1.06236055E+4,1.05755176E+4,1.07641680E+4,1.09639160E+4,1.10933818E+4,1.09121299E+4,1.06938867E+4,1.07308770E+4,1.02611006E+4,7.86783008E+3,8.15265527E+3,8.38569434E+3,8.06757764E+3,7.89372363E+3,7.63479150E+3,7.79015088E+3,
630.2500,7.92025293E+3,7.94993066E+3,7.70508936E+3,8.25783789E+3,7.74589600E+3,8.07977100E+3,8.52122754E+3,8.30606348E+3,8.94042578E+3,9.50801367E+3,9.07768555E+3,9.59333691E+3,1.00978584E+4,9.77140332E+3,9.96430859E+3,1.02499570E+4,9.97543848E+3,1.00867295E+4,1.02091504E+4,1.05356055E+4,9.81220996E+3,9.93092188E+3,9.60075684E+3,9.57478809E+3,7.80154199E+3,7.72734766E+3,7.63831445E+3,7.75702539E+3,7.51960303E+3,7.43056982E+3,7.31185889E+3,
630.500,7.55620166E+3,7.70501904E+3,8.25936426E+3,7.59340625E+3,8.14403027E+3,8.00637451E+3,8.20727734E+3,8.60536426E+3,8.46398730E+3,9.04809570E+3,8.77278418E+3,9.23039746E+3,9.62476270E+3,9.72893555E+3,9.57267676E+3,1.00265703E+4,9.59500000E+3,9.65452637E+3,9.63220410E+3,9.50198926E+3,9.63220410E+3,9.18575195E+3,9.55035449E+3,8.72813867E+3,7.45202979E+3,7.22880371E+3,7.54504053E+3,7.19159912E+3,7.13579248E+3,7.27344873E+3,7.06138428E+3,
630.7500,7.49964697E+3,7.24592773E+3,7.50337842E+3,7.79067822E+3,7.41383008E+3,7.54815234E+3,8.07051563E+3,8.16379492E+3,8.35781543E+3,8.55929883E+3,8.71227637E+3,8.95853320E+3,8.89137305E+3,9.08539355E+3,8.92868457E+3,9.23463965E+3,9.14136035E+3,8.96226465E+3,9.20852148E+3,9.08912402E+3,8.96972754E+3,9.02196387E+3,8.64884668E+3,8.57049219E+3,6.99967041E+3,6.69744580E+3,6.74968213E+3,6.42133936E+3,6.68252148E+3,7.01832617E+3,6.21612549E+3,
631.00,7.56990820E+3,7.17700635E+3,7.33042529E+3,7.37158643E+3,7.15829688E+3,7.59984375E+3,7.83932666E+3,7.72706885E+3,7.91416504E+3,8.34822754E+3,8.53158203E+3,8.70745215E+3,9.00680664E+3,8.77106543E+3,8.89454883E+3,8.92448438E+3,8.72241992E+3,8.81222656E+3,8.67003320E+3,8.34822754E+3,8.54280762E+3,8.03390674E+3,8.35945410E+3,8.31080859E+3,6.65313721E+3,6.47726709E+3,6.32759033E+3,6.27520313E+3,5.56797998E+3,6.30888037E+3,6.00952686E+3,
631.2500,7.09683545E+3,7.17189453E+3,7.11935352E+3,7.31075391E+3,7.46462500E+3,7.27322461E+3,7.62224902E+3,7.89621484E+3,8.22647461E+3,8.02756836E+3,8.48918164E+3,8.60552344E+3,8.21521582E+3,8.65055859E+3,8.08386230E+3,7.98253271E+3,8.03882715E+3,8.06509766E+3,8.21521582E+3,7.82490869E+3,7.81364990E+3,8.04258008E+3,8.08010938E+3,7.41583691E+3,5.91090234E+3,5.97470264E+3,5.69698389E+3,6.03099658E+3,5.59940723E+3,5.71950146E+3,5.52810107E+3,
631.500,6.41387012E+3,7.11021143E+3,7.05375146E+3,7.00105518E+3,7.12903174E+3,7.27959180E+3,7.30970410E+3,7.97593359E+3,7.46026416E+3,7.64093652E+3,7.41509619E+3,8.17542578E+3,7.97216943E+3,7.80278906E+3,7.71998096E+3,7.72374512E+3,7.98722559E+3,7.62964453E+3,7.41509619E+3,7.82913721E+3,7.20431152E+3,7.29464795E+3,7.01611133E+3,6.80156299E+3,5.52556396E+3,5.55191211E+3,5.18680322E+3,5.15292725E+3,5.16798340E+3,5.53309229E+3,4.99483887E+3,
631.7500,6.70455176E+3,6.48559668E+3,7.23306396E+3,6.95748242E+3,6.67812598E+3,6.70077686E+3,7.35009131E+3,7.20286328E+3,7.59924707E+3,7.40671777E+3,7.88615332E+3,7.72760010E+3,7.93900488E+3,7.72382471E+3,7.42559326E+3,7.75780078E+3,7.36519189E+3,7.10471094E+3,7.16133691E+3,6.93105713E+3,6.92350684E+3,6.90085645E+3,6.92350684E+3,6.43274561E+3,5.03973926E+3,4.99821338E+3,5.30022021E+3,5.04351416E+3,5.11901611E+3,4.86608496E+3,5.12279102E+3,
632.00,6.50845117E+3,6.33050049E+3,6.71290527E+3,6.61825049E+3,6.61825049E+3,6.40622412E+3,6.82270459E+3,6.95900732E+3,7.56101074E+3,7.54965186E+3,7.36412891E+3,6.89464209E+3,7.40577686E+3,7.31112256E+3,7.10288232E+3,7.20889551E+3,7.18239209E+3,6.85299414E+3,6.92871777E+3,6.57660254E+3,6.78484277E+3,6.62203662E+3,6.33807275E+3,6.42515527E+3,4.95990186E+3,4.94854297E+3,4.84253027E+3,4.94854297E+3,5.06970117E+3,4.75923389E+3,4.90310889E+3,
632.2500,6.11753955E+3,6.47069385E+3,6.15931055E+3,6.44411230E+3,5.87071143E+3,6.83523975E+3,6.93017383E+3,7.01751318E+3,7.04029688E+3,7.26054395E+3,7.23775977E+3,7.49977734E+3,7.00612109E+3,7.02131055E+3,6.97574219E+3,7.08966260E+3,6.76688770E+3,6.70233252E+3,7.09725732E+3,6.58461426E+3,6.34917822E+3,6.40234131E+3,6.31879980E+3,6.50487012E+3,4.78466797E+3,4.64416602E+3,4.84162842E+3,4.82264160E+3,4.66694971E+3,4.49227148E+3,4.56821875E+3,
632.500,6.29934131E+3,5.91848633E+3,6.04416846E+3,6.29934131E+3,6.61164258E+3,6.53547168E+3,6.43644922E+3,6.77921875E+3,6.89728369E+3,7.23243604E+3,7.11817969E+3,7.03058301E+3,7.01915723E+3,7.35050098E+3,7.10294531E+3,6.85538965E+3,6.87062402E+3,6.55070557E+3,7.16388232E+3,6.40217236E+3,6.26887305E+3,6.09367969E+3,6.21174463E+3,5.78518701E+3,5.01205176E+3,4.40268359E+3,4.62357959E+3,4.38744922E+3,4.26938428E+3,4.60453662E+3,4.21606445E+3,
632.7500,5.87098145E+3,6.13454541E+3,6.16510352E+3,6.17274316E+3,6.19566162E+3,6.32935352E+3,6.31407471E+3,6.61583594E+3,6.55853955E+3,7.17352197E+3,6.95579541E+3,6.91759766E+3,7.00927197E+3,6.77244629E+3,6.90231836E+3,6.69223145E+3,6.61965576E+3,6.38283008E+3,6.25677783E+3,6.54326074E+3,6.52034180E+3,6.02759180E+3,6.00467334E+3,5.93209766E+3,4.62573779E+3,4.68303418E+3,4.34689453E+3,4.37363281E+3,4.48822607E+3,4.52260400E+3,4.15208643E+3,
633.00,5.89975049E+3,6.03000439E+3,6.19090674E+3,6.40927441E+3,6.63147266E+3,6.40161230E+3,6.62381055E+3,6.77321973E+3,6.81152979E+3,7.00308057E+3,6.90730518E+3,7.19463086E+3,6.92262939E+3,6.94178418E+3,6.90347412E+3,6.68127588E+3,6.39011914E+3,6.47823242E+3,6.27902002E+3,6.03383545E+3,6.28668213E+3,5.71586230E+3,5.83079248E+3,5.82313037E+3,4.45929199E+3,4.60870117E+3,4.47461572E+3,4.24858643E+3,4.42098193E+3,4.28306543E+3,4.17962842E+3,
633.2500,5.61346582E+3,5.96310645E+3,6.08605713E+3,6.10526855E+3,6.18595459E+3,6.41264502E+3,6.47027832E+3,6.51638477E+3,6.70849512E+3,6.80070801E+3,6.48564697E+3,6.65470410E+3,6.97744971E+3,6.50870020E+3,6.53943799E+3,6.47796240E+3,6.43185596E+3,6.44722510E+3,6.19748145E+3,6.13984814E+3,6.37422314E+3,5.68262549E+3,5.92852686E+3,5.64804541E+3,4.33401074E+3,4.59143848E+3,4.23411328E+3,3.97284302E+3,4.29943066E+3,3.93057861E+3,4.05352930E+3,
633.500,5.64913037E+3,5.61444971E+3,5.90345703E+3,5.50655322E+3,5.93813770E+3,6.11924902E+3,6.09227490E+3,6.35045508E+3,6.22329150E+3,6.73579785E+3,6.99012451E+3,6.81286670E+3,7.30995947E+3,6.90534912E+3,6.96700391E+3,6.31577393E+3,6.35045508E+3,6.17319727E+3,6.01906006E+3,6.13851611E+3,6.06144775E+3,5.69922510E+3,5.79941406E+3,5.19827881E+3,4.13473193E+3,4.23106787E+3,3.92279321E+3,3.93050000E+3,3.68388037E+3,3.88425879E+3,3.70700098E+3,
633.7500,5.23277393E+3,5.51876025E+3,5.39895508E+3,5.58832422E+3,5.66561768E+3,5.63856494E+3,6.04049170E+3,6.28783105E+3,6.16029639E+3,6.67429883E+3,6.97574365E+3,6.69748682E+3,6.96414941E+3,6.72453955E+3,6.31874854E+3,6.22213135E+3,6.13710840E+3,6.24918408E+3,6.17189063E+3,5.66175293E+3,5.52262451E+3,5.35257910E+3,5.39122559E+3,4.95451709E+3,4.21636377E+3,4.05791187E+3,3.88013672E+3,3.98448291E+3,3.96515942E+3,4.07337061E+3,3.62120313E+3,
634.00,4.86818896E+3,4.91470068E+3,5.15113330E+3,5.58523926E+3,5.50384424E+3,5.58136328E+3,6.18213525E+3,6.52321826E+3,6.36042871E+3,6.37205664E+3,6.43407178E+3,6.82554248E+3,6.33717285E+3,6.38368457E+3,6.36042871E+3,6.16275537E+3,5.80229248E+3,5.70151758E+3,5.42632568E+3,5.37981396E+3,5.05035889E+3,4.97671582E+3,5.30617139E+3,4.98834375E+3,3.79842798E+3,3.76742041E+3,3.76742041E+3,3.67052173E+3,3.56199512E+3,3.53873950E+3,3.58525073E+3,
634.2500,4.74200488E+3,4.82751660E+3,5.01797412E+3,5.19288428E+3,5.50772217E+3,5.67485840E+3,5.75648340E+3,5.85754248E+3,6.10241650E+3,6.36672510E+3,6.35117725E+3,6.37838574E+3,6.51053955E+3,6.09464258E+3,6.39781982E+3,5.95082764E+3,5.81089990E+3,5.53104346E+3,5.46496631E+3,5.29783008E+3,5.18122363E+3,5.03352197E+3,5.16567627E+3,4.42716699E+3,3.57982520E+3,3.82858618E+3,3.76639575E+3,3.76639575E+3,3.21445752E+3,3.23000513E+3,3.45155786E+3,
634.500,4.45524463E+3,4.80215332E+3,5.12567529E+3,5.07110547E+3,5.41411621E+3,5.54274561E+3,5.66357861E+3,5.93253076E+3,5.82728857E+3,6.18978857E+3,6.11962744E+3,5.95202002E+3,6.16640186E+3,6.17419727E+3,5.58951953E+3,5.59341748E+3,5.38683154E+3,5.12957324E+3,5.05941162E+3,5.15296045E+3,4.79825586E+3,4.81384717E+3,4.63064795E+3,4.61115869E+3,3.58992163E+3,3.47298608E+3,3.58602368E+3,3.64059375E+3,3.24301270E+3,3.57822803E+3,3.35605054E+3,
634.7500,4.50688672E+3,4.41307471E+3,4.87431738E+3,5.11275635E+3,5.43328076E+3,5.09712061E+3,5.52318359E+3,5.84370801E+3,5.66781055E+3,5.96879102E+3,6.00397070E+3,5.92579395E+3,6.15250635E+3,5.95706445E+3,5.55054541E+3,5.35510400E+3,5.46064258E+3,4.93685840E+3,5.07366797E+3,4.96031152E+3,4.97203809E+3,4.52252197E+3,4.81177588E+3,4.38180420E+3,3.50622485E+3,3.41241284E+3,3.17397388E+3,3.13488574E+3,3.36159814E+3,3.41241284E+3,3.25215063E+3,
635.00,4.24126416E+3,4.40981738E+3,4.60580908E+3,4.86843799E+3,5.11538770E+3,5.50737158E+3,5.64456592E+3,5.87975635E+3,5.94247363E+3,6.27957959E+3,5.86799658E+3,5.89151563E+3,5.77000098E+3,5.71904297E+3,5.92287451E+3,5.58576855E+3,5.05659033E+3,4.95075488E+3,5.17418555E+3,4.96251416E+3,4.44901563E+3,4.52741211E+3,4.35885938E+3,4.47253467E+3,3.47297607E+3,3.26522461E+3,3.41809839E+3,3.22602612E+3,3.27698413E+3,3.26914453E+3,3.03003442E+3,
635.2500,4.01453931E+3,4.32123291E+3,4.57287891E+3,4.75374951E+3,5.29636084E+3,5.45757178E+3,5.55587061E+3,5.85863232E+3,5.90974805E+3,6.03557080E+3,5.92154395E+3,6.09848242E+3,5.54407471E+3,5.63844189E+3,5.33174854E+3,5.14694629E+3,5.19412988E+3,5.31995264E+3,4.96607568E+3,4.54535498E+3,4.59647070E+3,4.45491992E+3,4.56108301E+3,4.23079736E+3,3.56629492E+3,3.00009155E+3,3.12591455E+3,3.05513916E+3,3.14557446E+3,3.33824072E+3,3.14557446E+3,
635.500,4.06245190E+3,4.29121143E+3,4.50025000E+3,5.00115430E+3,5.21808105E+3,5.27724316E+3,5.26935498E+3,5.44684082E+3,5.79392383E+3,6.06212451E+3,5.54544385E+3,5.90041553E+3,5.64010303E+3,5.73081787E+3,5.57699707E+3,5.44289648E+3,5.20230469E+3,4.73689746E+3,5.06820459E+3,5.09186914E+3,4.41742334E+3,4.47264111E+3,4.52785889E+3,4.16894336E+3,3.36434106E+3,3.06064331E+3,3.12769336E+3,2.99359302E+3,2.88710156E+3,2.90682227E+3,2.82793970E+3,
635.7500,4.21743359E+3,4.28864746E+3,4.80692480E+3,4.92561426E+3,5.02056592E+3,5.29750830E+3,5.55862500E+3,5.79204785E+3,5.64566406E+3,5.92260596E+3,6.03733936E+3,5.79600391E+3,5.68127100E+3,5.64170752E+3,5.34894043E+3,5.14716797E+3,5.06408545E+3,4.70406055E+3,4.58141455E+3,4.81879395E+3,4.17391406E+3,4.25304053E+3,4.19369580E+3,4.00379248E+3,2.93558691E+3,3.05427661E+3,2.91976172E+3,2.86041699E+3,2.99097534E+3,2.85646069E+3,2.86832959E+3,
636.00,4.52412891E+3,4.59556250E+3,4.55587695E+3,4.84954883E+3,4.88923389E+3,5.41308057E+3,5.34561523E+3,5.68294092E+3,5.49245117E+3,5.63928711E+3,5.73453174E+3,5.90120996E+3,5.64722412E+3,5.39720654E+3,5.14322021E+3,4.98051025E+3,4.65905908E+3,4.84161182E+3,4.60349951E+3,4.64715332E+3,4.42491553E+3,3.98440820E+3,3.70264233E+3,3.63120874E+3,2.87321875E+3,2.78591089E+3,3.02005444E+3,2.69463477E+3,2.87718726E+3,2.98036914E+3,2.83750195E+3,
636.2500,4.21256982E+3,4.61471484E+3,4.74212695E+3,4.65453125E+3,4.73416406E+3,5.01685986E+3,5.20797852E+3,5.64993994E+3,5.48669287E+3,5.71364600E+3,5.61808691E+3,5.51058252E+3,5.74549902E+3,5.06862109E+3,5.04473145E+3,5.12436426E+3,4.90537402E+3,4.64258643E+3,4.34396387E+3,4.35590869E+3,4.49924756E+3,4.09710254E+3,4.07321265E+3,3.53171021E+3,2.93844653E+3,2.83094238E+3,2.61991577E+3,2.60000757E+3,2.80307104E+3,2.67167700E+3,2.65973218E+3,
636.500,4.37427588E+3,4.46216113E+3,4.79772168E+3,4.73780029E+3,4.88960156E+3,5.19719922E+3,5.20518848E+3,5.37296924E+3,5.14526709E+3,5.57670264E+3,5.51678076E+3,5.55672852E+3,5.27709473E+3,5.22516260E+3,4.84166455E+3,5.04939258E+3,4.66589453E+3,4.56602490E+3,4.25043799E+3,3.80701831E+3,4.01075171E+3,4.04270996E+3,3.69915942E+3,3.73511230E+3,2.81631470E+3,2.79634082E+3,2.82030957E+3,2.83229370E+3,2.68848193E+3,2.67250293E+3,2.50072754E+3,
636.7500,4.16425684E+3,4.24842383E+3,4.63318652E+3,4.46485303E+3,5.00592578E+3,4.78148096E+3,5.15021191E+3,5.24239453E+3,5.28648193E+3,5.79549121E+3,5.40271240E+3,5.37064893E+3,5.43076807E+3,5.22636279E+3,5.19029150E+3,4.97787012E+3,4.60112305E+3,4.18028857E+3,4.23239209E+3,4.36866211E+3,3.97588330E+3,3.55104102E+3,3.79151782E+3,3.56306494E+3,2.84965039E+3,2.66929272E+3,2.74544360E+3,2.52099854E+3,2.32460938E+3,2.52500659E+3,2.36869678E+3,
637.00,3.65925415E+3,4.11364502E+3,4.45946484E+3,4.54793018E+3,4.90179199E+3,4.77713623E+3,5.27575977E+3,5.11089258E+3,5.39639453E+3,4.99427881E+3,5.59343164E+3,5.57332568E+3,5.55321973E+3,5.05057520E+3,4.82539014E+3,4.74496680E+3,4.52380322E+3,4.27449121E+3,4.04126416E+3,4.29861816E+3,3.98496802E+3,3.71957153E+3,3.84422754E+3,3.49840796E+3,2.58962598E+3,2.80274756E+3,2.94348804E+3,2.62983765E+3,2.59364722E+3,2.77057813E+3,2.52126636E+3,
637.2500,3.79561206E+3,3.87628394E+3,4.20300488E+3,4.61846533E+3,4.57006201E+3,4.61443164E+3,5.00568994E+3,5.32031055E+3,5.21947070E+3,5.99392090E+3,5.25173926E+3,4.89678320E+3,5.16300049E+3,5.45341895E+3,4.98148877E+3,4.52972607E+3,4.63459961E+3,4.15056836E+3,4.31997900E+3,3.94082129E+3,3.94485498E+3,3.54956274E+3,3.56166357E+3,3.56166357E+3,2.69040723E+3,2.77511279E+3,2.63393701E+3,2.58956738E+3,2.62586963E+3,2.54923145E+3,2.61780249E+3,
637.500,3.96918384E+3,3.72237427E+3,4.33332910E+3,4.54777002E+3,4.54372412E+3,4.92000781E+3,4.95237598E+3,4.98069873E+3,5.10208008E+3,4.89573145E+3,5.27606104E+3,5.32461377E+3,5.25987646E+3,4.79862598E+3,4.79862598E+3,4.77030371E+3,4.55181641E+3,4.32523682E+3,4.14721045E+3,3.82352563E+3,4.03392065E+3,3.70618994E+3,3.62931494E+3,3.59694629E+3,2.68253711E+3,2.59352368E+3,2.55710913E+3,2.63803052E+3,2.42763525E+3,2.63398438E+3,2.47618799E+3,
637.7500,3.72575317E+3,3.64052368E+3,4.04232056E+3,4.19654541E+3,4.77286035E+3,4.78097754E+3,4.87838281E+3,4.87026563E+3,5.10566162E+3,5.28423828E+3,4.90679248E+3,5.00825635E+3,5.03666650E+3,4.96361230E+3,4.68763086E+3,4.46846875E+3,4.30612646E+3,4.46035156E+3,4.20060400E+3,4.17219434E+3,4.06261328E+3,3.59993799E+3,3.97332520E+3,3.47006421E+3,2.53253809E+3,2.63806055E+3,2.62994336E+3,2.58124072E+3,2.57718237E+3,2.52036255E+3,2.65023633E+3,
638.00,3.79424634E+3,3.84717041E+3,4.24206494E+3,4.57996484E+3,4.62881787E+3,4.54739600E+3,4.96671729E+3,5.33311475E+3,5.43896240E+3,5.59773486E+3,5.38196729E+3,5.19062695E+3,4.86494043E+3,5.19062695E+3,4.67359961E+3,4.59217822E+3,4.50668555E+3,4.20949658E+3,4.37641064E+3,4.03851123E+3,4.24613623E+3,3.59883447E+3,3.95301855E+3,3.65582959E+3,2.67469946E+3,2.60549097E+3,2.52406958E+3,2.68691260E+3,2.59327783E+3,2.57699341E+3,2.49150073E+3,
638.2500,3.86738135E+3,3.83879468E+3,4.13283008E+3,4.34927246E+3,4.49629004E+3,4.75357129E+3,5.03127100E+3,5.20687549E+3,5.25996533E+3,5.12519922E+3,5.32530664E+3,5.07619336E+3,4.96184619E+3,5.05169043E+3,5.05985791E+3,4.79849316E+3,4.59838574E+3,4.44320068E+3,4.22675781E+3,4.07157251E+3,4.01848291E+3,3.78978882E+3,3.59376514E+3,3.71627979E+3,2.74024585E+3,2.78925171E+3,3.00161060E+3,2.70349146E+3,2.55647388E+3,2.45029443E+3,2.49521655E+3,
638.500,3.54765601E+3,3.64597461E+3,4.23998145E+3,4.38745947E+3,4.42842529E+3,4.59638574E+3,5.10436426E+3,5.08797803E+3,5.25184180E+3,5.43618896E+3,5.19039307E+3,5.12894385E+3,5.39931934E+3,5.19039307E+3,4.78073291E+3,4.71109082E+3,4.68651123E+3,4.32191357E+3,4.59638574E+3,4.08021411E+3,3.87128760E+3,3.79345215E+3,3.51488330E+3,3.65416772E+3,2.69146655E+3,2.58085840E+3,2.72423950E+3,2.60134131E+3,2.58085840E+3,2.48254004E+3,2.31867603E+3,
638.7500,3.64504541E+3,3.89571924E+3,4.14228369E+3,4.48747412E+3,4.59020947E+3,4.54500586E+3,4.86143018E+3,4.93539941E+3,5.24771484E+3,5.35866846E+3,5.42441943E+3,5.38743457E+3,5.11621338E+3,4.84910205E+3,4.58610010E+3,4.75869482E+3,4.45870801E+3,4.39295752E+3,4.12995557E+3,4.16283105E+3,3.65326416E+3,3.79298413E+3,3.68613940E+3,3.39437134E+3,2.54783325E+3,2.65878735E+3,2.54372388E+3,2.44920752E+3,2.56427100E+3,2.35469116E+3,2.28483105E+3,
639.00,3.70177954E+3,3.77597998E+3,4.01094824E+3,4.20057178E+3,4.50149561E+3,4.65814111E+3,4.88898730E+3,4.67463037E+3,4.99204346E+3,5.25174512E+3,5.05387695E+3,5.34655664E+3,5.14044434E+3,4.82715332E+3,4.77768652E+3,4.54684033E+3,4.52622949E+3,4.17171582E+3,3.92438086E+3,4.21706055E+3,3.90789185E+3,3.74300195E+3,3.48742261E+3,3.27718799E+3,2.44861572E+3,2.58465015E+3,2.33319287E+3,2.42800464E+3,2.42800464E+3,2.31670386E+3,2.11471362E+3,
639.2500,3.72943823E+3,3.81626563E+3,4.03953564E+3,4.68867285E+3,4.57703809E+3,4.48607617E+3,4.77550000E+3,4.90780859E+3,4.73001904E+3,5.31300244E+3,5.09386670E+3,5.10213623E+3,5.44944531E+3,4.91194287E+3,4.65146143E+3,4.58530713E+3,4.25453662E+3,4.16357471E+3,3.99818945E+3,3.89068896E+3,3.69636108E+3,3.34078271E+3,3.40693701E+3,3.33664819E+3,2.83222314E+3,2.58827979E+3,2.50145239E+3,2.32366333E+3,2.35674048E+3,2.27818237E+3,2.38568286E+3,
639.500,3.58719287E+3,3.84016260E+3,4.11386719E+3,3.96042676E+3,4.12630859E+3,4.54930713E+3,4.53686572E+3,4.75665918E+3,4.87277637E+3,5.16721631E+3,5.00133496E+3,4.95986426E+3,4.92668799E+3,5.01792285E+3,4.57004199E+3,4.37927832E+3,4.28389600E+3,3.93554443E+3,3.88578003E+3,4.02677954E+3,3.55816357E+3,3.26787061E+3,3.32592920E+3,3.33007617E+3,2.50481445E+3,2.33893262E+3,2.52554956E+3,2.39284424E+3,2.30575635E+3,2.23940356E+3,2.05278662E+3,
639.7500,3.71441919E+3,3.60627246E+3,4.29258740E+3,4.24267383E+3,4.36745801E+3,4.50888037E+3,4.45064795E+3,4.83332031E+3,4.82916064E+3,4.86243652E+3,4.62118652E+3,4.76676855E+3,4.92898828E+3,4.47560449E+3,4.37993652E+3,4.37161768E+3,4.04717773E+3,3.75601392E+3,3.80592773E+3,3.85584155E+3,3.49812598E+3,3.15704834E+3,3.41909570E+3,3.13625098E+3,2.48737134E+3,2.49569043E+3,2.53728516E+3,2.26275928E+3,2.25444019E+3,2.34594897E+3,2.25444019E+3,
640.00,3.57953442E+3,3.45854785E+3,4.24287451E+3,4.13857568E+3,4.38054883E+3,4.62252246E+3,4.57245898E+3,5.09395264E+3,4.73099316E+3,4.96879443E+3,4.82277588E+3,4.89369922E+3,4.67675781E+3,4.58497461E+3,4.41809668E+3,4.15109180E+3,4.17612354E+3,3.88825879E+3,3.82150757E+3,3.82150757E+3,3.38762451E+3,3.53364282E+3,3.30835742E+3,3.35007715E+3,2.50317090E+3,2.59495386E+3,2.52820264E+3,2.30708911E+3,2.19861841E+3,2.24451001E+3,2.17775854E+3,
640.2500,3.39724341E+3,3.75286597E+3,3.98715869E+3,4.09175366E+3,4.08338599E+3,4.47247900E+3,4.71513965E+3,4.76952881E+3,4.74860986E+3,5.13770313E+3,4.79463135E+3,4.81555078E+3,4.61891211E+3,4.74442578E+3,4.26328955E+3,4.47666309E+3,3.97460742E+3,3.96623975E+3,3.80725537E+3,3.74449854E+3,3.50602197E+3,3.28009692E+3,3.12111279E+3,3.05417188E+3,2.50609448E+3,2.61487329E+3,2.51446216E+3,2.51027832E+3,2.30945605E+3,2.26761816E+3,2.35547778E+3,
640.500,3.51596753E+3,3.73833765E+3,3.91455566E+3,4.27118701E+3,4.30055664E+3,4.54390527E+3,4.59425342E+3,4.69075391E+3,4.51453564E+3,4.83760205E+3,4.71592773E+3,4.87955859E+3,4.73690625E+3,4.50194873E+3,4.43901367E+3,4.17049121E+3,3.98168628E+3,3.94392529E+3,3.72155518E+3,3.81385962E+3,3.39848877E+3,3.28940161E+3,3.24744482E+3,3.13835767E+3,2.49222510E+3,2.41670313E+3,2.39152930E+3,2.40411621E+3,2.26146362E+3,2.19013721E+3,1.96776697E+3,
640.7500,3.43757397E+3,3.84570679E+3,4.03083936E+3,4.15706592E+3,4.56940674E+3,4.28750049E+3,4.47263281E+3,4.58623682E+3,4.97333203E+3,4.77136914E+3,4.99436963E+3,4.80502979E+3,4.56099170E+3,4.43897217E+3,4.28329297E+3,4.17389648E+3,3.98876392E+3,3.69002734E+3,3.50910229E+3,3.46702686E+3,3.38708325E+3,3.43757397E+3,3.29451685E+3,3.07151636E+3,2.55819458E+3,2.35623169E+3,2.36885449E+3,2.13743872E+3,2.30994873E+3,2.20475977E+3,2.00279700E+3,
641.00,3.43464941E+3,3.80596289E+3,4.05069214E+3,4.00427808E+3,4.24056836E+3,4.37137207E+3,4.49795605E+3,4.49795605E+3,4.86083057E+3,4.82707471E+3,4.80597754E+3,4.73846582E+3,4.78066064E+3,4.48529785E+3,4.37559131E+3,4.03803369E+3,3.76798755E+3,3.87347437E+3,3.53169727E+3,3.25743164E+3,3.24055371E+3,3.29962646E+3,3.24055371E+3,3.17726172E+3,2.37556226E+3,2.17724707E+3,2.25319751E+3,2.29961182E+3,2.08441870E+3,2.21100293E+3,1.78061682E+3,
641.2500,3.42441064E+3,3.47097241E+3,3.76304199E+3,4.11013916E+3,4.38527734E+3,4.51226416E+3,4.69851123E+3,4.89745752E+3,4.81279932E+3,4.93132031E+3,4.75777197E+3,4.77893652E+3,4.42760645E+3,4.41067480E+3,4.27522217E+3,4.16516699E+3,4.00431689E+3,3.68684985E+3,3.63605518E+3,3.42017773E+3,3.17466992E+3,3.12387524E+3,3.02228564E+3,2.74291479E+3,2.21380322E+3,2.34502271E+3,2.30269385E+3,2.02332288E+3,2.16724121E+3,2.21803613E+3,2.00215845E+3,
641.500,3.50748584E+3,3.74103516E+3,4.00855542E+3,4.23785840E+3,4.42894385E+3,4.68372510E+3,4.67098633E+3,5.02767969E+3,4.90453516E+3,5.02767969E+3,5.18904102E+3,4.72618848E+3,4.46716113E+3,4.50113184E+3,4.31853906E+3,4.23361182E+3,3.70281812E+3,3.56268848E+3,3.54570313E+3,3.59241284E+3,3.26544385E+3,2.92998218E+3,3.00641650E+3,2.78135986E+3,2.04674121E+3,2.44165186E+3,2.22933423E+3,2.11892920E+3,1.97879956E+3,1.92784338E+3,1.97455322E+3,
